season,competition_id,competition,competition_type,p,w,d,l,gf,ga,furthest_round,position,league_size
2021-22,league-cup,League Cup,league-cup,1,0,0,1,0,1,Round 3,,
2021-22,premier-league,Premier League,league,38,16,10,12,57,57,1. Matchday,6,20
2022-23,europa-league,UEFA Europa League,european,12,8,2,2,21,12,Group E,,
2022-23,fa-cup,FA Cup,domestic-cup,6,4,1,1,13,6,Final,,
2022-23,league-cup,League Cup,league-cup,6,6,0,0,16,2,Final,,
2022-23,premier-league,Premier League,league,38,23,6,9,58,43,1. Matchday,3,20
2023-24,champions-league,UEFA Champions League,european,6,1,1,4,12,15,Group A,,
2023-24,fa-cup,FA Cup,domestic-cup,6,5,1,0,16,9,Final,,
2023-24,league-cup,League Cup,league-cup,2,1,0,1,3,3,Round of 16,,
2023-24,premier-league,Premier League,league,38,18,6,14,57,58,1. Matchday,8,20
2024-25,charity-shield,FA Charity/Community Shield,super-cup,1,0,1,0,1,1,Final,,
2024-25,europa-league,UEFA Europa League,european,15,9,5,1,35,19,Final,,
2024-25,fa-cup,FA Cup,domestic-cup,3,1,2,0,4,3,Round of 16,,
2024-25,league-cup,League Cup,league-cup,3,2,0,1,15,6,Quarter-final,,
2024-25,premier-league,Premier League,league,38,11,9,18,44,54,1. Matchday,15,20
2025-26,fa-cup,FA Cup,domestic-cup,1,0,0,1,1,2,Third round,,
2025-26,league-cup,League Cup,league-cup,1,0,1,0,2,2,Second round,,
2025-26,premier-league,Premier League,league,38,20,11,7,69,50,1. Matchday,3,20
