season,competition_id,competition,competition_type,p,w,d,l,gf,ga,furthest_round,position,league_size
1954-55,first-division,First Division,league,42,20,7,15,84,74,,5,22
1955-56,fa-cup,FA Cup,domestic-cup,1,0,0,1,0,4,Round 3,,
1955-56,first-division,First Division,league,42,25,10,7,83,51,,1,22
1956-57,charity-shield,FA Charity/Community Shield,super-cup,1,1,0,0,1,0,,,
1956-57,european-cup,European Cup,european,8,4,2,2,24,12,Preliminary round First leg,,
1956-57,fa-cup,FA Cup,domestic-cup,6,5,0,1,15,6,Final,,
1956-57,first-division,First Division,league,42,28,8,6,103,54,,1,22
1957-58,charity-shield,FA Charity/Community Shield,super-cup,1,1,0,0,4,0,,,
1957-58,european-cup,European Cup,european,8,5,1,2,19,12,Preliminary round First leg,,
1957-58,fa-cup,FA Cup,domestic-cup,8,5,2,1,18,10,Final,,
1957-58,first-division,First Division,league,42,16,11,15,85,75,,9,22
1958-59,fa-cup,FA Cup,domestic-cup,1,0,0,1,0,3,Round 3,,
1958-59,first-division,First Division,league,42,24,7,11,103,66,,2,22
1959-60,fa-cup,FA Cup,domestic-cup,3,2,0,1,7,4,Round 5,,
1959-60,first-division,First Division,league,42,19,7,16,102,80,,7,22
1960-61,fa-cup,FA Cup,domestic-cup,3,1,1,1,6,8,Round 4,,
1960-61,first-division,First Division,league,42,18,9,15,88,76,,7,22
1960-61,league-cup,League Cup,league-cup,3,1,1,1,6,4,Round 2,,
1961-62,fa-cup,FA Cup,domestic-cup,7,4,2,1,8,5,Semi-final,,
1961-62,first-division,First Division,league,42,15,9,18,72,75,,15,22
1962-63,fa-cup,FA Cup,domestic-cup,6,6,0,0,15,3,Final,,
1962-63,first-division,First Division,league,42,12,10,20,67,81,,19,22
1963-64,charity-shield,FA Charity/Community Shield,super-cup,1,0,0,1,0,4,,,
1963-64,cup-winners-cup,European Cup Winners' Cup,european,6,3,1,2,15,11,First round First leg,,
1963-64,fa-cup,FA Cup,domestic-cup,7,4,2,1,22,12,Semi-final,,
1963-64,first-division,First Division,league,42,23,7,12,90,62,,2,22
1964-65,fa-cup,FA Cup,domestic-cup,7,4,2,1,10,6,Semi-final,,
1964-65,first-division,First Division,league,42,26,9,7,89,39,,1,22
1964-65,inter-cities-fairs-cup,Inter-Cities Fairs Cup,european,11,6,3,2,29,10,First round First leg,,
1965-66,charity-shield,FA Charity/Community Shield,super-cup,1,0,1,0,2,2,,,
1965-66,european-cup,European Cup,european,8,7,0,1,23,8,Preliminary round First leg,,
1965-66,fa-cup,FA Cup,domestic-cup,7,4,2,1,14,7,Semi-final,,
1965-66,first-division,First Division,league,42,18,15,9,84,59,,4,22
1966-67,fa-cup,FA Cup,domestic-cup,2,1,0,1,3,2,Round 4,,
1966-67,first-division,First Division,league,42,24,12,6,84,45,,1,22
1966-67,league-cup,League Cup,league-cup,1,0,0,1,1,5,Second round,,
1967-68,charity-shield,FA Charity/Community Shield,super-cup,1,0,1,0,3,3,,,
1967-68,european-cup,European Cup,european,9,5,3,1,16,6,Final,,
1967-68,fa-cup,FA Cup,domestic-cup,2,0,1,1,2,3,Round 3,,
1967-68,first-division,First Division,league,42,24,8,10,89,55,,2,22
1968-69,european-cup,European Cup,european,8,5,1,2,18,7,Round 1 First leg,,
1968-69,fa-cup,FA Cup,domestic-cup,6,3,2,1,14,7,Quarter-final,,
1968-69,first-division,First Division,league,42,15,12,15,57,53,,11,22
1968-69,intercontinental-cup,Intercontinental Cup,world,2,0,1,1,1,2,,,
1969-70,fa-cup,FA Cup,domestic-cup,8,4,3,1,15,5,Semi-final,,
1969-70,first-division,First Division,league,42,14,17,11,66,61,,8,22
1969-70,league-cup,League Cup,league-cup,8,4,3,1,8,4,Round 5,,
1970-71,fa-cup,FA Cup,domestic-cup,2,0,1,1,1,2,Round 3,,
1970-71,first-division,First Division,league,42,16,11,15,65,66,,8,22
1970-71,league-cup,League Cup,league-cup,6,4,1,1,12,7,Round 5,,
1971-72,fa-cup,FA Cup,domestic-cup,7,3,3,1,12,5,Quarter-final,,
1971-72,first-division,First Division,league,42,19,10,13,69,61,,8,22
1971-72,league-cup,League Cup,league-cup,6,2,3,1,7,5,Round 4,,
1972-73,fa-cup,FA Cup,domestic-cup,1,0,0,1,0,1,Round 3,,
1972-73,first-division,First Division,league,42,12,13,17,44,60,,18,22
1972-73,league-cup,League Cup,league-cup,4,1,2,1,7,6,Round 3,,
1973-74,fa-cup,FA Cup,domestic-cup,2,1,0,1,1,1,Round 4,,
1973-74,first-division,First Division,league,42,10,12,20,38,48,,21,22
1973-74,league-cup,League Cup,league-cup,1,0,0,1,0,1,Round 2,,
1974-75,fa-cup,FA Cup,domestic-cup,2,0,1,1,2,3,Round 3,,
1974-75,league-cup,League Cup,league-cup,7,4,2,1,14,6,Round 5,,
1974-75,second-division,Second Division,league,42,26,9,7,66,30,,1,22
1975-76,fa-cup,FA Cup,domestic-cup,7,5,1,1,13,7,Final,,
1975-76,first-division,First Division,league,42,23,10,9,68,42,,3,22
1975-76,league-cup,League Cup,league-cup,3,2,0,1,4,6,Round 4,,
1976-77,fa-cup,FA Cup,domestic-cup,7,6,1,0,12,6,Final,,
1976-77,first-division,First Division,league,42,18,11,13,71,62,,6,22
1976-77,league-cup,League Cup,league-cup,6,3,2,1,17,9,Round 5,,
1976-77,uefa-cup,UEFA Cup,european,4,2,0,2,3,4,Round 1 First leg,,
1977-78,charity-shield,FA Charity/Community Shield,super-cup,1,0,1,0,0,0,,,
1977-78,cup-winners-cup,European Cup Winners' Cup,european,4,2,1,1,8,7,Round 1 First leg,,
1977-78,fa-cup,FA Cup,domestic-cup,4,1,2,1,8,7,Round 4,,
1977-78,first-division,First Division,league,42,16,10,16,67,63,,10,22
1977-78,league-cup,League Cup,league-cup,1,0,0,1,2,3,Round 2,,
1978-79,fa-cup,FA Cup,domestic-cup,9,5,3,1,14,7,Final,,
1978-79,first-division,First Division,league,42,15,15,12,60,63,,9,22
1978-79,league-cup,League Cup,league-cup,2,1,0,1,4,4,Round 3,,
1979-80,fa-cup,FA Cup,domestic-cup,2,0,1,1,1,2,Round 3,,
1979-80,first-division,First Division,league,42,24,10,8,65,35,,2,22
1979-80,league-cup,League Cup,league-cup,3,1,0,2,5,7,Round 3,,
1980-81,fa-cup,FA Cup,domestic-cup,3,1,1,1,4,3,Round 4,,
1980-81,first-division,First Division,league,42,15,18,9,51,36,,8,22
1980-81,league-cup,League Cup,league-cup,2,0,0,2,0,2,Round 2 First leg,,
1980-81,uefa-cup,UEFA Cup,european,2,0,2,0,1,1,Round 1 First leg,,
1981-82,fa-cup,FA Cup,domestic-cup,1,0,0,1,0,1,Round 3,,
1981-82,first-division,First Division,league,42,22,12,8,59,29,,3,22
1981-82,league-cup,League Cup,league-cup,2,0,0,2,0,2,Round 2 First leg,,
1982-83,fa-cup,FA Cup,domestic-cup,7,6,1,0,14,3,Final,,
1982-83,first-division,First Division,league,42,19,13,10,56,38,,3,22
1982-83,league-cup,League Cup,league-cup,9,6,2,1,21,8,Final,,
1982-83,uefa-cup,UEFA Cup,european,2,0,1,1,1,2,Round 1 First leg,,
1983-84,charity-shield,FA Charity/Community Shield,super-cup,1,1,0,0,2,0,,,
1983-84,cup-winners-cup,European Cup Winners' Cup,european,8,3,3,2,12,9,Round 1 First leg,,
1983-84,fa-cup,FA Cup,domestic-cup,1,0,0,1,0,2,Round 3,,
1983-84,first-division,First Division,league,42,20,14,8,71,41,,4,22
1983-84,league-cup,League Cup,league-cup,6,3,2,1,8,4,Round 4,,
1984-85,fa-cup,FA Cup,domestic-cup,7,6,1,0,16,6,Final,,
1984-85,first-division,First Division,league,42,22,10,10,77,47,,4,22
1984-85,league-cup,League Cup,league-cup,3,2,0,1,8,2,Round 3,,
1984-85,uefa-cup,UEFA Cup,european,8,4,3,1,12,7,Round 1 First leg,,
1985-86,charity-shield,FA Charity/Community Shield,super-cup,1,0,0,1,0,2,,,
1985-86,fa-cup,FA Cup,domestic-cup,5,2,2,1,6,3,Round 5,,
1985-86,first-division,First Division,league,42,22,10,10,70,36,,4,22
1985-86,league-cup,League Cup,league-cup,4,3,0,1,4,2,Round 4,,
1985-86,screen-sport-super-cup,Screen Sport Super Cup,super-cup,4,0,2,2,4,7,Group stage,,
1986-87,fa-cup,FA Cup,domestic-cup,2,1,0,1,1,1,Round 4,,
1986-87,first-division,First Division,league,42,14,14,14,52,45,,11,22
1986-87,league-cup,League Cup,league-cup,4,2,1,1,8,6,Round 3,,
1987-88,fa-cup,FA Cup,domestic-cup,3,2,0,1,5,3,Round 5,,
1987-88,first-division,First Division,league,40,23,12,5,71,38,,2,21
1987-88,league-cup,League Cup,league-cup,5,4,0,1,10,4,Round 5,,
1988-89,fa-cup,FA Cup,domestic-cup,7,3,3,1,11,4,Quarter-final,,
1988-89,first-division,First Division,league,38,13,12,13,45,35,,11,20
1988-89,league-cup,League Cup,league-cup,3,2,0,1,7,2,Round 3,,
1989-90,fa-cup,FA Cup,domestic-cup,8,6,2,0,15,9,Final,,
1989-90,first-division,First Division,league,38,13,9,16,46,47,,13,20
1989-90,league-cup,League Cup,league-cup,3,1,1,1,3,5,Round 3,,
1990-91,charity-shield,FA Charity/Community Shield,super-cup,1,0,1,0,1,1,,,
1990-91,cup-winners-cup,European Cup Winners' Cup,european,9,7,2,0,17,4,Final,,
1990-91,fa-cup,FA Cup,domestic-cup,3,2,0,1,4,3,Round 5,,
1990-91,first-division,First Division,league,38,16,12,10,58,45,,6,20
1990-91,league-cup,League Cup,league-cup,9,7,1,1,21,10,Final,,
1991-92,cup-winners-cup,European Cup Winners' Cup,european,4,1,2,1,3,4,First round First leg,,
1991-92,fa-cup,FA Cup,domestic-cup,3,1,2,0,3,2,Round 4,,
1991-92,first-division,First Division,league,42,21,15,6,63,33,,2,22
1991-92,league-cup,League Cup,league-cup,8,6,2,0,15,4,Final,,
1991-92,uefa-super-cup,UEFA Super Cup,super-cup,1,1,0,0,1,0,,,
1992-93,fa-cup,FA Cup,domestic-cup,3,2,0,1,4,2,Round 5,,
1992-93,league-cup,League Cup,league-cup,3,1,1,1,2,2,Round 3,,
1992-93,premier-league,Premier League,league,42,24,12,6,67,31,,1,22
1992-93,uefa-cup,UEFA Cup,european,2,0,2,0,0,0,First round First leg,,
1993-94,champions-league,UEFA Champions League,european,2,1,1,0,6,5,First round First leg,,
1993-94,charity-shield,FA Charity/Community Shield,super-cup,1,0,1,0,1,1,,,
1993-94,fa-cup,FA Cup,domestic-cup,7,6,1,0,18,3,Final,,
1993-94,league-cup,League Cup,league-cup,8,5,1,2,15,8,Final,,
1993-94,premier-league,Premier League,league,42,27,11,4,80,38,,1,22
1994-95,champions-league,UEFA Champions League,european,6,2,2,2,11,11,,,
1994-95,charity-shield,FA Charity/Community Shield,super-cup,1,1,0,0,2,0,,,
1994-95,fa-cup,FA Cup,domestic-cup,7,5,1,1,16,6,Final,,
1994-95,league-cup,League Cup,league-cup,3,2,0,1,4,3,Round 3,,
1994-95,premier-league,Premier League,league,42,26,10,6,77,28,,2,22
1995-96,fa-cup,FA Cup,domestic-cup,7,6,1,0,14,5,Final,,
1995-96,league-cup,League Cup,league-cup,2,1,0,1,3,4,Round 2 First leg,,
1995-96,premier-league,Premier League,league,38,25,7,6,73,35,,1,20
1995-96,uefa-cup,UEFA Cup,european,2,0,2,0,2,2,Round 1 First leg,,
1996-97,champions-league,UEFA Champions League,european,10,4,1,5,10,5,Quarter-final First leg,,
1996-97,charity-shield,FA Charity/Community Shield,super-cup,1,1,0,0,4,0,,,
1996-97,fa-cup,FA Cup,domestic-cup,3,1,1,1,3,2,Round 4,,
1996-97,league-cup,League Cup,league-cup,2,1,0,1,2,3,Round 4,,
1996-97,premier-league,Premier League,league,38,21,12,5,76,44,,1,20
1997-98,champions-league,UEFA Champions League,european,8,5,2,1,15,6,Quarter-final First leg,,
1997-98,charity-shield,FA Charity/Community Shield,super-cup,1,0,1,0,1,1,,,
1997-98,fa-cup,FA Cup,domestic-cup,4,2,1,1,13,8,Round 5,,
1997-98,league-cup,League Cup,league-cup,1,0,0,1,0,2,Third round,,
1997-98,premier-league,Premier League,league,38,23,8,7,73,26,,2,20
1998-99,champions-league,UEFA Champions League,european,13,6,7,0,31,16,Final,,
1998-99,charity-shield,FA Charity/Community Shield,super-cup,1,0,0,1,0,3,,,
1998-99,fa-cup,FA Cup,domestic-cup,8,6,2,0,12,3,Final,,
1998-99,league-cup,League Cup,league-cup,3,2,0,1,5,4,Third Round,,
1998-99,premier-league,Premier League,league,38,22,13,3,80,37,,1,20
1999-00,champions-league,UEFA Champions League,european,14,8,3,3,21,11,Quarter-final First leg,,
1999-00,charity-shield,FA Charity/Community Shield,super-cup,1,0,0,1,1,2,,,
1999-00,fifa-club-world-cup,FIFA Club World Cup,world,3,1,1,1,4,4,,,
1999-00,intercontinental-cup,Intercontinental Cup,world,1,1,0,0,1,0,,,
1999-00,league-cup,League Cup,league-cup,1,0,0,1,0,3,Round 3,,
1999-00,premier-league,Premier League,league,38,28,7,3,97,45,,1,20
1999-00,uefa-super-cup,UEFA Super Cup,super-cup,1,0,0,1,0,1,,,
2000-01,champions-league,UEFA Champions League,european,14,6,4,4,22,13,Quarter-final First leg,,
2000-01,charity-shield,FA Charity/Community Shield,super-cup,1,0,0,1,0,2,,,
2000-01,fa-cup,FA Cup,domestic-cup,2,1,0,1,2,2,Round 4,,
2000-01,league-cup,League Cup,league-cup,2,1,0,1,4,2,Round 4,,
2000-01,premier-league,Premier League,league,38,24,8,6,79,31,,1,20
2001-02,champions-league,UEFA Champions League,european,16,8,6,2,31,14,Quarter-final First leg,,
2001-02,charity-shield,FA Charity/Community Shield,super-cup,1,0,0,1,1,2,,,
2001-02,fa-cup,FA Cup,domestic-cup,2,1,0,1,3,4,Round 4,,
2001-02,league-cup,League Cup,league-cup,1,0,0,1,0,4,Round 3,,
2001-02,premier-league,Premier League,league,38,24,5,9,87,45,,3,20
2002-03,champions-league,UEFA Champions League,european,16,11,1,4,37,20,Third qualifying round First leg,,
2002-03,fa-cup,FA Cup,domestic-cup,3,2,0,1,10,3,Round 5,,
2002-03,league-cup,League Cup,league-cup,6,4,1,1,9,4,Final,,
2002-03,premier-league,Premier League,league,38,25,8,5,74,34,,1,20
2003-04,champions-league,UEFA Champions League,european,8,5,1,2,15,5,First knockout round First leg,,
2003-04,charity-shield,FA Charity/Community Shield,super-cup,1,0,1,0,1,1,,,
2003-04,fa-cup,FA Cup,domestic-cup,6,6,0,0,15,4,Final,,
2003-04,league-cup,League Cup,league-cup,2,1,0,1,3,4,Round 4,,
2003-04,premier-league,Premier League,league,38,23,6,9,64,35,,3,20
2004-05,champions-league,UEFA Champions League,european,10,5,2,3,19,12,Third qualifying round First leg,,
2004-05,charity-shield,FA Charity/Community Shield,super-cup,1,0,0,1,1,3,,,
2004-05,fa-cup,FA Cup,domestic-cup,7,5,2,0,15,1,Final,,
2004-05,league-cup,League Cup,league-cup,5,3,1,1,7,2,Quarter-final,,
2004-05,premier-league,Premier League,league,38,22,11,5,58,26,,3,20
2005-06,champions-league,UEFA Champions League,european,8,3,3,2,9,4,Third qualifying round First leg,,
2005-06,fa-cup,FA Cup,domestic-cup,4,2,1,1,8,1,Round 5,,
2005-06,league-cup,League Cup,league-cup,6,5,1,0,17,5,Final,,
2005-06,premier-league,Premier League,league,38,25,8,5,72,34,,2,20
2006-07,champions-league,UEFA Champions League,european,12,8,0,4,23,13,First knockout round First leg,,
2006-07,fa-cup,FA Cup,domestic-cup,8,5,2,1,15,9,Final,,
2006-07,league-cup,League Cup,league-cup,2,1,0,1,2,2,Round 4,,
2006-07,premier-league,Premier League,league,38,28,5,5,83,27,,1,20
2007-08,champions-league,UEFA Champions League,european,13,9,4,0,20,6,Final,,
2007-08,charity-shield,FA Charity/Community Shield,super-cup,1,0,1,0,1,1,,,
2007-08,fa-cup,FA Cup,domestic-cup,4,3,0,1,9,2,Quarter-final,,
2007-08,league-cup,League Cup,league-cup,1,0,0,1,0,2,Round 3,,
2007-08,premier-league,Premier League,league,38,27,6,5,80,22,,1,20
2008-09,champions-league,UEFA Champions League,european,13,6,6,1,18,8,Final,,
2008-09,charity-shield,FA Charity/Community Shield,super-cup,1,0,1,0,0,0,,,
2008-09,fa-cup,FA Cup,domestic-cup,5,4,1,0,13,2,Semi-final,,
2008-09,fifa-club-world-cup,FIFA Club World Cup,world,2,2,0,0,6,3,Final,,
2008-09,league-cup,League Cup,league-cup,6,4,1,1,13,7,Final,,
2008-09,premier-league,Premier League,league,38,28,6,4,68,24,,1,20
2008-09,uefa-super-cup,UEFA Super Cup,super-cup,1,0,0,1,1,2,,,
2009-10,champions-league,UEFA Champions League,european,10,7,1,2,21,12,First knockout round First leg,,
2009-10,charity-shield,FA Charity/Community Shield,super-cup,1,0,1,0,2,2,,,
2009-10,fa-cup,FA Cup,domestic-cup,1,0,0,1,0,1,Round 3,,
2009-10,league-cup,League Cup,league-cup,6,5,0,1,11,4,Final,,
2009-10,premier-league,Premier League,league,38,27,4,7,86,28,,2,20
2010-11,champions-league,UEFA Champions League,european,13,9,3,1,19,7,Final,,
2010-11,charity-shield,FA Charity/Community Shield,super-cup,1,1,0,0,3,1,,,
2010-11,fa-cup,FA Cup,domestic-cup,5,4,0,1,6,2,Semi-final,,
2010-11,league-cup,League Cup,league-cup,3,2,0,1,8,8,Round 5,,
2010-11,premier-league,Premier League,league,38,23,11,4,78,37,,1,20
2011-12,champions-league,UEFA Champions League,european,6,2,3,1,11,8,,,
2011-12,charity-shield,FA Charity/Community Shield,super-cup,1,1,0,0,3,2,,,
2011-12,europa-league,UEFA Europa League,european,4,1,0,3,6,7,Round of 32 First leg,,
2011-12,fa-cup,FA Cup,domestic-cup,2,1,0,1,4,4,Round 4,,
2011-12,league-cup,League Cup,league-cup,3,2,0,1,7,2,Round 5,,
2011-12,premier-league,Premier League,league,38,28,5,5,89,33,,2,20
2012-13,champions-league,UEFA Champions League,european,8,4,1,3,11,9,Group H,,
2012-13,fa-cup,FA Cup,domestic-cup,6,3,2,1,11,7,Quarter-final,,
2012-13,league-cup,League Cup,league-cup,2,1,0,1,6,6,Round 4,,
2012-13,premier-league,Premier League,league,38,28,5,5,86,43,1. Matchday,1,20
2013-14,champions-league,UEFA Champions League,european,10,5,3,2,17,9,Group A,,
2013-14,charity-shield,FA Charity/Community Shield,super-cup,1,1,0,0,2,0,Final,,
2013-14,fa-cup,FA Cup,domestic-cup,1,0,0,1,1,2,Round 3,,
2013-14,league-cup,League Cup,league-cup,5,4,0,1,10,3,Round 5,,
2013-14,premier-league,Premier League,league,38,19,7,12,64,43,1. Matchday,7,20
2014-15,fa-cup,FA Cup,domestic-cup,5,3,1,1,9,3,Quarter-final,,
2014-15,league-cup,League Cup,league-cup,1,0,0,1,0,4,Round 2,,
2014-15,premier-league,Premier League,league,38,20,10,8,62,37,1. Matchday,4,20
