name,wikidata_id,commons_file,image_url,thumb_url,local_path,page_url,license,artist,credit,source_id,retrieved_at
Bülent Korkmaz,Q507832,Bülent Korkmaz'12.JPG,https://upload.wikimedia.org/wikipedia/commons/6/64/B%C3%BClent_Korkmaz%2712.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/B%C3%BClent_Korkmaz%2712.JPG/330px-B%C3%BClent_Korkmaz%2712.JPG,/media/own-goal-scorers/bulent-korkmaz.webp,https://commons.wikimedia.org/wiki/File:B%C3%BClent_Korkmaz%2712.JPG,CC BY-SA 3.0,Ultraslansi,Own work,wikidata-commons,2026-06-16T13:24:01.971Z
Carlos Bocanegra,Q213091,Carlos-Bocanegra.jpg,https://upload.wikimedia.org/wikipedia/commons/0/05/Carlos-Bocanegra.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Carlos-Bocanegra.jpg/330px-Carlos-Bocanegra.jpg,/media/own-goal-scorers/carlos-bocanegra.webp,https://commons.wikimedia.org/wiki/File:Carlos-Bocanegra.jpg,CC BY-SA 3.0,Paulblank,http://www.postproduktie.nl,wikidata-commons,2026-06-16T13:24:01.971Z
Charlie Hurley,Q5085056,Eire 1960.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Eire_1960.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Eire_1960.jpg/330px-Eire_1960.jpg,/media/own-goal-scorers/charlie-hurley.webp,https://commons.wikimedia.org/wiki/File:Eire_1960.jpg,Public domain,Eskil Malmberg,"Rekord-Magasinet nr 35, 1960",wikidata-commons,2026-06-16T13:24:01.971Z
Conor Coady,Q723606,Conor Coady.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Conor_Coady.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Conor_Coady.jpg/330px-Conor_Coady.jpg,/media/own-goal-scorers/conor-coady.webp,https://commons.wikimedia.org/wiki/File:Conor_Coady.jpg,CC BY 2.0,Catherine Kõrtsmik,Flickr : U-19 England vs Greece.,wikidata-commons,2026-06-16T13:24:01.971Z
Craig Dawson,Q1705657,Craig Dawson WHU (cropped).jpeg,https://upload.wikimedia.org/wikipedia/commons/b/b1/Craig_Dawson_WHU_%28cropped%29.jpeg,https://upload.wikimedia.org/wikipedia/commons/b/b1/Craig_Dawson_WHU_%28cropped%29.jpeg,/media/own-goal-scorers/craig-dawson.webp,https://commons.wikimedia.org/wiki/File:Craig_Dawson_WHU_(cropped).jpeg,CC BY-SA 4.0,Egghead06,Own work,wikidata-commons,2026-06-16T13:24:01.971Z
Craig Short,Q869477,CraigShort (cropped2).jpg,https://upload.wikimedia.org/wikipedia/commons/5/51/CraigShort_%28cropped2%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/CraigShort_%28cropped2%29.jpg/330px-CraigShort_%28cropped2%29.jpg,/media/own-goal-scorers/craig-short.webp,https://commons.wikimedia.org/wiki/File:CraigShort_(cropped2).jpg,CC BY-SA 3.0,"Németh Miklós, www.magyarfutball.hu",Own work,wikidata-commons,2026-06-16T13:24:01.971Z
Damien Delaney,Q2736210,Crystal Palace 0 Chelsea 3 (1).jpg,https://upload.wikimedia.org/wikipedia/commons/9/99/Crystal_Palace_0_Chelsea_3_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/9/99/Crystal_Palace_0_Chelsea_3_%281%29.jpg,/media/own-goal-scorers/damien-delaney.webp,https://commons.wikimedia.org/wiki/File:Crystal_Palace_0_Chelsea_3_(1).jpg,CC BY-SA 2.0,[ https://www.flickr.com/photos/cfcunofficial @cfcunofficial (Chelsea Debs) London ],Crystal Palace 0 Chelsea 3,wikidata-commons,2026-06-16T13:24:01.971Z
Danny Higginbotham,Q437322,Danny Higginbotham vs. Estonia.jpg,https://upload.wikimedia.org/wikipedia/commons/1/12/Danny_Higginbotham_vs._Estonia.jpg,https://upload.wikimedia.org/wikipedia/commons/1/12/Danny_Higginbotham_vs._Estonia.jpg,/media/own-goal-scorers/danny-higginbotham.webp,https://commons.wikimedia.org/wiki/File:Danny_Higginbotham_vs._Estonia.jpg,CC BY-SA 2.0,InfoGibraltar,Cropped from original image on Flickr,wikidata-commons,2026-06-16T13:24:01.971Z
David Luiz,Q193706,David Luiz at Baku before 2019 UEFA Europe League Final.jpg,https://upload.wikimedia.org/wikipedia/commons/5/51/David_Luiz_at_Baku_before_2019_UEFA_Europe_League_Final.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/David_Luiz_at_Baku_before_2019_UEFA_Europe_League_Final.jpg/330px-David_Luiz_at_Baku_before_2019_UEFA_Europe_League_Final.jpg,/media/own-goal-scorers/david-luiz.webp,https://commons.wikimedia.org/wiki/File:David_Luiz_at_Baku_before_2019_UEFA_Europe_League_Final.jpg,CC BY 4.0,Amir Hosseini,https://www.farsnews.com/photo/13980307001244/%D8%AA%D9%85%D8%B1%DB%8C%D9%86-%D8%AA%DB%8C%D9%85-%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84-%D8%A2%D8%B1%D8%B3%D9%86%D8%A7%D9%84-%D9%88-%DA%86%D9%84%D8%B3%DB%8C-%D9%BE%DB%8C%D8%B4-%D8%A7%D8%B2-%D8%A8%D8%A7%D8%B2%DB%8C-%D9%81%DB%8C%D9%86%D8%A7%D9%84-%D9%84%DB%8C%DA%AF-%D8%A7%D8%B1%D9%88%D9%BE%D8%A7-,wikidata-commons,2026-06-16T13:24:01.971Z
David Unsworth,Q340077,David Unsworth.png,https://upload.wikimedia.org/wikipedia/commons/c/c2/David_Unsworth.png,https://upload.wikimedia.org/wikipedia/commons/c/c2/David_Unsworth.png,/media/own-goal-scorers/david-unsworth.webp,https://commons.wikimedia.org/wiki/File:David_Unsworth.png,CC BY 2.0,https://www.flickr.com/photos/orange_wedge/,https://www.flickr.com/photos/orange_wedge/356864529/,wikidata-commons,2026-06-16T13:24:01.971Z
