manager_id,name,wikidata_id,commons_file,image_url,thumb_url,local_path,page_url,license,artist,credit,source_id,retrieved_at
louis-van-gaal,Louis van Gaal,Q207431,Louis van Gaal 2014.jpg,https://upload.wikimedia.org/wikipedia/commons/0/09/Louis_van_Gaal_2014.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Louis_van_Gaal_2014.jpg/330px-Louis_van_Gaal_2014.jpg,/media/managers/louis-van-gaal.webp,https://commons.wikimedia.org/wiki/File:Louis_van_Gaal_2014.jpg,CC BY-SA 2.0,"Congres in Beeld from Eindhoven, The Netherlands",WVDO_2014041286.jpg,wikidata-commons,2026-07-03T00:30:07.917Z
michael-carrick,Michael Carrick,Q29566,Michael Carrick - July 2015 (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Michael_Carrick_-_July_2015_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Michael_Carrick_-_July_2015_%28cropped%29.jpg/330px-Michael_Carrick_-_July_2015_%28cropped%29.jpg,/media/managers/michael-carrick.webp,https://commons.wikimedia.org/wiki/File:Michael_Carrick_-_July_2015_(cropped).jpg,CC BY-SA 2.0,"Matt Janzer from Missoula, USA","MUFC v CA - Seattle, WA - July 17, 2015",wikidata-commons,2026-07-03T00:30:07.917Z
ole-gunnar-solskjaer,Ole Gunnar Solskjær,Q18976,Ole Gunnar Solksjaer 2021.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/Ole_Gunnar_Solksjaer_2021.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Ole_Gunnar_Solksjaer_2021.jpg/330px-Ole_Gunnar_Solksjaer_2021.jpg,/media/managers/ole-gunnar-solskjaer.webp,https://commons.wikimedia.org/wiki/File:Ole_Gunnar_Solksjaer_2021.jpg,CC BY-SA 4.0,Ardfern,Own work,wikidata-commons,2026-07-03T00:30:07.917Z
ralf-rangnick,Ralf Rangnick,Q57902,"Manchester United v Crystal Palace, 5 December 2021 (35).jpg",https://upload.wikimedia.org/wikipedia/commons/f/fc/Manchester_United_v_Crystal_Palace%2C_5_December_2021_%2835%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Manchester_United_v_Crystal_Palace%2C_5_December_2021_%2835%29.jpg/330px-Manchester_United_v_Crystal_Palace%2C_5_December_2021_%2835%29.jpg,/media/managers/ralf-rangnick.webp,"https://commons.wikimedia.org/wiki/File:Manchester_United_v_Crystal_Palace,_5_December_2021_(35).jpg",CC BY-SA 4.0,Ardfern,Own work,wikidata-commons,2026-07-03T00:30:07.917Z
ron-atkinson,Ron Atkinson,Q344875,RonAtkinson.JPG,https://upload.wikimedia.org/wikipedia/commons/9/93/RonAtkinson.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/RonAtkinson.JPG/330px-RonAtkinson.JPG,/media/managers/ron-atkinson.webp,https://commons.wikimedia.org/wiki/File:RonAtkinson.JPG,CC BY-SA 3.0,Pontificake at English Wikipedia,Transferred from en.wikipedia to Commons by ShinePhantom using CommonsHelper .,wikidata-commons,2026-07-03T00:30:07.917Z
ruud-van-nistelrooy,Ruud van Nistelrooy,Q45626,Ruud.JPG,https://upload.wikimedia.org/wikipedia/commons/2/2b/Ruud.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Ruud.JPG/330px-Ruud.JPG,/media/managers/ruud-van-nistelrooy.webp,https://commons.wikimedia.org/wiki/File:Ruud.JPG,Public domain,User:Aloba,Own work,wikidata-commons,2026-07-03T00:30:07.917Z
ryan-giggs,Ryan Giggs,Q10524,Ryan Giggs in 2008.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/Ryan_Giggs_in_2008.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Ryan_Giggs_in_2008.jpg/330px-Ryan_Giggs_in_2008.jpg,/media/managers/ryan-giggs.webp,https://commons.wikimedia.org/wiki/File:Ryan_Giggs_in_2008.jpg,CC BY 2.0,James Adams,https://www.flickr.com/photos/jmage/2974655582/in/set-72157608386211837/,wikidata-commons,2026-07-03T00:30:07.917Z
ruben-amorim,Rúben Amorim,Q368682,RubenAmorim3.png,https://upload.wikimedia.org/wikipedia/commons/b/b3/RubenAmorim3.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/RubenAmorim3.png/330px-RubenAmorim3.png,/media/managers/ruben-amorim.webp,https://commons.wikimedia.org/wiki/File:RubenAmorim3.png,CC BY 3.0,Agência Lusa,YouTube : https://www.youtube.com/watch?v=pa7kvubJxHE – View/save archived versions on archive.org,wikidata-commons,2026-07-03T00:30:07.917Z
alex-ferguson,Sir Alex Ferguson,Q44980,Alex Ferguson.jpg,https://upload.wikimedia.org/wikipedia/commons/1/14/Alex_Ferguson.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Alex_Ferguson.jpg/330px-Alex_Ferguson.jpg,/media/managers/alex-ferguson.webp,https://commons.wikimedia.org/wiki/File:Alex_Ferguson.jpg,CC BY 2.0,Austin Osuide,Cropped and lightened version of the file uploaded to Flickr with the name AIG,wikidata-commons,2026-07-03T00:30:07.917Z
matt-busby,Sir Matt Busby,Q206237,Matt Busby cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/7/74/Matt_Busby_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/7/74/Matt_Busby_cropped.jpg,/media/managers/matt-busby.webp,https://commons.wikimedia.org/wiki/File:Matt_Busby_cropped.jpg,Public domain,Kurt Nielsen © Scanpix,derived from Busby babes,wikidata-commons,2026-07-03T00:30:07.917Z
tommy-docherty,Tommy Docherty,Q735009,Tommy Docherty 2017 01.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/Tommy_Docherty_2017_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Tommy_Docherty_2017_01.jpg/330px-Tommy_Docherty_2017_01.jpg,/media/managers/tommy-docherty.webp,https://commons.wikimedia.org/wiki/File:Tommy_Docherty_2017_01.jpg,CC BY-SA 2.0,"@cfcunofficial (Chelsea Debs) London from London, UK",TommyDoc8.10.17-2,wikidata-commons,2026-07-03T00:30:07.917Z
wilf-mcguinness,Wilf McGuinness,Q2006716,Manchester United FC 1957.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3e/Manchester_United_FC_1957.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Manchester_United_FC_1957.jpg/330px-Manchester_United_FC_1957.jpg,/media/managers/wilf-mcguinness.webp,https://commons.wikimedia.org/wiki/File:Manchester_United_FC_1957.jpg,Public domain,Eskil Malmberg,"Rekord-Magasinet nr 36, 1957",wikidata-commons,2026-07-03T00:30:07.917Z
